ID,Form,Segmented,Gloss,Translation,Parameter_ID,Lexeme_ID,Morpheme_IDs,Gramm,Source,Audio,POS
apuni-soap,apuni,apuni,soap,soap,soap,apuni-soap,apuni-soap,n,muller2021yawarana,/home/florianm/Downloads/New_Dictionary_Clippings/YarLex_0071_AnFo_apuni.wav,
arina-trembler,arina,arina,trembler,trembler,trembler,arina-trembler,arina-trembler,n,muller2021yawarana,/home/florianm/Downloads/New_Dictionary_Clippings/YarLex_0089_PaPe_arina.wav,
aro-rice,aro,aro,rice,rice,rice,aro-rice,aro-rice,n,muller2021yawarana,/home/florianm/Downloads/New_Dictionary_Clippings/YarLex_0090_AnFo_aro.wav,
aropoko-ball-game,aropoko,aropoko,ball.game,ball game,ball-game,aropoko-ball-game,aropoko-ball-game,n,muller2021yawarana,/home/florianm/Downloads/New_Dictionary_Clippings/YarLex_0096_PaPe_aropoko.wav,
asakontompene-four,asakontompene,asakontompene,four,four,four,asakontompene-four,asakontompene-four,adv,muller2021yawarana,/home/florianm/Downloads/New_Dictionary_Clippings/YarLex_0110_AnFo_asakontompene.wav,
asere-dry-cough,asere,asere,dry.cough,dry cough,dry-cough,asere-dry-cough,asere-dry-cough,n,muller2021yawarana,/home/florianm/Downloads/New_Dictionary_Clippings/YarLex_0125_AnFo_asere.wav,
asere-ke-dry-cough-prep,asereke,asere-ke,dry.cough-PREP,tuberculous,tuberculous,asere&keprop,"asere-dry-cough,keprop","adv,prop",muller2021yawarana,/home/florianm/Downloads/New_Dictionary_Clippings/YarLex_0126_AnFo_asereke.wav,
asereta-ri-have-dry-cough-acnnmlz,aseretari,asereta-ri,have.dry.cough-ACNNMLZ,have a dry cough,have-a-dry-cough,asereta&rinmlz,rinmlz,n,muller2021yawarana,/home/florianm/Downloads/New_Dictionary_Clippings/YarLex_0127_AnFo_aseretari.wav,
asuka-sugar,asuka,asuka,sugar,sugar,sugar,asuka-sugar,asuka-sugar,n,muller2021yawarana,/home/florianm/Downloads/New_Dictionary_Clippings/YarLex_0131_AnFo_asuka.wav,
awochi-tumor,awochi,awochi,tumor,big tumor,big-tumor,awochi-tumor,awochi-tumor,n,muller2021yawarana,/home/florianm/Downloads/New_Dictionary_Clippings/YarLex_0174_AnFo_awochi.wav,
chika-ri-bite-acnnmlz,chikari,chika-ri,bite-ACNNMLZ,bite,bite,chika&rinmlz,"chika-bite,rinmlz",n,muller2021yawarana,/home/florianm/Downloads/New_Dictionary_Clippings/YarLex_0195_PaPe_chikari.wav,
chimichimi-worm-dog,chimichimi,chimichimi,worm.(dog),worm (dog),worm-dog,chimichimi-worm-dog,chimichimi-worm-dog,n,muller2021yawarana,/home/florianm/Downloads/New_Dictionary_Clippings/YarLex_0210_PaPe_chimichimi.wav,
chimichimita-ri-fill-with-worms-dog-acnnmlz,chimichimitari,chimichimita-ri,fill.with.worms.(dog)-ACNNMLZ,become infected with worms,become-infected-with-worms,chimichimita&rinmlz,rinmlz,n,muller2021yawarana,/home/florianm/Downloads/New_Dictionary_Clippings/YarLex_0213_AnFo_chimichimitari.wav,
chipiyu-fungus-sp,chipiyu,chipiyu,fungus.sp,mushroom (sp.),mushroom-sp,chipiyu-fungus-sp,chipiyu-fungus-sp,n,muller2021yawarana,NOT RECORDED,
chiri-ri-wild-pineapple-pert,chiriri,chiri-ri,wild.pineapple-PERT,titi monkey,titi-monkey,chiri-wild-pineapple,"chiri-wild-pineapple,rupert","n,pert",muller2021yawarana,NOT RECORDED,
chiri-ri-titi-monkey-pert,chiriri,chiri-ri,titi.monkey-PERT,titi monkey,titi-monkey,chiri-titi-monkey,"chiri-titi-monkey,rupert","n,pert",muller2021yawarana,NOT RECORDED,
chiyakono-friend,chiyakono,chiyakono,friend,friend,friend,chiyakono-friend,chiyakono-friend,n,muller2021yawarana,NOT RECORDED,
eniro-no-now-nmlz,enirono,eniro-no,now-NMLZ,new,new,enirë&anonmlz,"anonmlz,enire-now",n,muller2021yawarana,/home/florianm/Downloads/Dictionary_Clippings/180320/YarLex_0368_PaPe_enirono-02.wav,
ijmoka-ni-cook-agtnmlz,ijmokani,ijmoka-ni,cook-AGTNMLZ,cook,cook,ijmoka&ninmlz,"ijmoka-cook,ninmlz",n,muller2021yawarana,/home/florianm/Downloads/New_Dictionary_Clippings/YarLex_0466_AnFo_ijmokani.wav,
ijmoka-ri-cook-acnnmlz,ijmokari,ijmoka-ri,cook-ACNNMLZ,cook,cook,ijmoka&rinmlz,"ijmoka-cook,rinmlz",n,muller2021yawarana,/home/florianm/Downloads/New_Dictionary_Clippings/YarLex_0465_AnFo_ijmokari.wav,
ijpu-summit,ijpu,ijpu,summit,summit,summit,ijpu-summit,ijpu-summit,n,muller2021yawarana,,
iyajtepe-before,iyajtëpe,iyajtëpe,before,before,before,iyajtepe-before,iyajtepe-before,adv,muller2021yawarana,/home/florianm/Downloads/New_Dictionary_Clippings/YarLex_0510_PaPe_iyajtepe.wav,
kampara-ke-big-prep,kamparake,kampara-ke,big-PREP,large,large,kampara&keprop,"kampara-big,keprop","adv,prop",muller2021yawarana,,
kejkepe-salamander,kejkepe,kejkepe,salamander,salamander,salamander,kejkepe-salamander,kejkepe-salamander,n,muller2021yawarana,,
kojpa-night,kojpa,kojpa,night,night,night,kojpa-night,kojpa-night,n,muller2021yawarana,/home/florianm/Downloads/New_Dictionary_Clippings/YarLex_0765_AnFo_kojpa .wav,
kojpaye-night-advz,kojpaye,kojpaye,night.ADVZ,at night,at-night,kojpa-ye-at-night,,adv,muller2021yawarana,/home/florianm/Downloads/New_Dictionary_Clippings/YarLex_0767_AnFo_kojpaye.wav,
kwatojpe-how,kwatojpe,kwatojpe,how,what for,what-for,kwa-tojpe-how,,adv,muller2021yawarana,/home/florianm/Downloads/Dictionary_Clippings/180324/YarLex_0850_AnFo_kwatojpe.wav,
kere-ke-ripe-prep,kërëke,kërë-ke,ripe-PREP,black,black,kërë&keprop,"keprop,kere-ripe","adv,prop",muller2021yawarana,/home/florianm/Downloads/New_Dictionary_Clippings/YarLex_0719_AnFo_kereke.wav,
moroni-pain,moroni,moroni,pain,pain,pain,moroni-pain,moroni-pain,n,muller2021yawarana,/home/florianm/Downloads/New_Dictionary_Clippings/YarLex_1023_PaPe_moroni.wav,
meteta-ri-thin-acnnmlz,mëtëtari,mëtëta-ri,thin-ACNNMLZ,thin,thin,mëtëta&rinmlz,rinmlz,n,muller2021yawarana,NOT RECORDED,
nop-ano-good-nmlz,nopano,nop-ano,good-NMLZ,good,good,nope&anonmlz,"anonmlz,nope-good",n,muller2021yawarana,/home/florianm/Downloads/Dictionary_Clippings/180328/YarLex_1125_PaPe_nopano-02.wav,
pakara-basket,pakara,pakara,basket,basket,basket,pakara-basket,pakara-basket,n,muller2021yawarana,/home/florianm/Downloads/New_Dictionary_Clippings/YarLex_1231_AnFo_pakara.wav,
pakura-coix-lacryma-jobi,pakura,pakura,Coix.lacryma.jobi,Coix lacryma-jobi,coix-lacryma-jobi,pakura-coix-lacryma-jobi,pakura-coix-lacryma-jobi,n,muller2021yawarana,/home/florianm/Downloads/New_Dictionary_Clippings/YarLex_1236_PaPe_pakura.wav,
rokota-ri-become-crazy-acnnmlz,rokotari,rokota-ri,become.crazy-ACNNMLZ,become crazy,become-crazy,rokota&rinmlz,rinmlz,n,muller2021yawarana,/home/florianm/Downloads/Dictionary_Clippings/180402/YarLex_1566_PaPe_rokotari-02.wav,
romoye-downriver,romoye,romoye,downriver,downriver,downriver,romoye-downriver,romoye-downriver,adv,muller2021yawarana,/home/florianm/Downloads/Dictionary_Clippings/180402/YarLex_1568_AnFo_romoye-02.wav,
takono-pe-other-ess,takonope,takono-pe,other-ESS,again,again,takono&peess,"peess,takono-other","adv,ess",muller2021yawarana,/home/florianm/Downloads/New_Dictionary_Clippings/YarLex_1834_AnFo_takonope.wav,
tapire-red,tapire,tapire,red,red,red,tapi-re-red,,adv,muller2021yawarana,/home/florianm/Downloads/New_Dictionary_Clippings/YarLex_1864_AnFo_tapiire.wav,
teijpo-jra-far-neg,teijpojra,teijpo-jra,far-NEG,close,close,teijpo-far,"jraneg,teijpo-far","adv,neg",muller2021yawarana,/home/florianm/Downloads/Dictionary_Clippings/180406/YarLex_1946_PaPe_teijpojra-02.wav,
teijpo-no-far-nmlz,teijpono,teijpo-no,far-NMLZ,long; far,long-far,teijpo&anonmlz,"anonmlz,teijpo-far",n,muller2021yawarana,/home/florianm/Downloads/Dictionary_Clippings/180406/YarLex_1948_PaPe_teijpono.wav,
tejpore-tasty,tejpore,tejpore,tasty,tasty,tasty,tejpo-re-tasty,,adv,muller2021yawarana,/home/florianm/Downloads/Dictionary_Clippings/180406/YarLex_1957_AnFo_tejpore.wav,
tejpore-mi-tasty-nmlz,tejporemï,tejpore-mï,tasty-NMLZ,tasty,tasty,tejpore&minmlz,minmlz,n,muller2021yawarana,,
wenaka-ri-vomit-acnnmlz,wenakari,wenaka-ri,vomit-ACNNMLZ,vomit,vomit,wenaka&rinmlz,rinmlz,n,muller2021yawarana,/home/florianm/Downloads/New_Dictionary_Clippings/YarLex_2376_AnFo_wenakari.wav,
weseyu-pe-become-mad-ess,weseyupe,weseyu-pe,become.mad-ESS,brave,brave,weseyu&peess,"peess,weseyu","adv,ess",muller2021yawarana,/home/florianm/Downloads/New_Dictionary_Clippings/YarLex_2406_AnFo_wesepoya.wav,
yokota-ri-grow-pimple-acnnmlz,yokotari,yokota-ri,grow.pimple-ACNNMLZ,grow pimple,grow-pimple,yokota&rinmlz,rinmlz,n,muller2021yawarana,/home/florianm/Downloads/Dictionary_Clippings/180414/YarLex_2802_AnFo_yokotari-02.wav,
ekere-jaguar,ëkërë,ëkërë,jaguar,jaguar,jaguar,ekere-jaguar,ekere-jaguar,n,muller2021yawarana,/home/florianm/Downloads/Dictionary_Clippings/180320/YarLex_0335_PaPe_ekere-02.wav,
achikipe-dirty,achikipe,,,dirty,dirty,,,,muller2021yawarana,/home/florianm/Downloads/Dictionary_Clippings/180316/YarLex_0005_PaPe_achikipe-02.wav,adv
ajpachikejra-clean,ajpachikejra,,,clean,clean,,,,muller2021yawarana,,adv
anepe-cold,anepe,,,cold,cold,,,,muller2021yawarana,/home/florianm/Downloads/Dictionary_Clippings/180316/YarLex_0043_AnFo_anepe.wav,adv
apijmano-thin-thing,apijmano,,,thin thing,thin-thing,,,,muller2021yawarana,/home/florianm/Downloads/New_Dictionary_Clippings/YarLex_0065_PaPe_apijmano.wav,n
aponore-narrowly,aponore,,,narrowly,narrowly,,,,muller2021yawarana,/home/florianm/Downloads/New_Dictionary_Clippings/YarLex_0069_AnFo_aponore-02.wav,adv
arawata-mycetes-ursinus,arawata,,,Mycetes ursinus,mycetes-ursinus,,,,muller2021yawarana,/home/florianm/Downloads/New_Dictionary_Clippings/YarLex_0081_AnFo_arawata.wav,n
arawejkari-flash,arawejkari,,,flash,flash,,,,muller2021yawarana,/home/florianm/Downloads/New_Dictionary_Clippings/YarLex_0083_PaPe_arawejkari.wav,vi
arekana-bird-catcher,arekana,,,bird catcher,bird-catcher,,,,muller2021yawarana,/home/florianm/Downloads/New_Dictionary_Clippings/YarLex_0085_AnFo_arekana.wav,n
arekowa-lighting-wick,arekowa,,,lighting wick,lighting-wick,,,,muller2021yawarana,/home/florianm/Downloads/New_Dictionary_Clippings/YarLex_0086_AnFo_arekowa.wav,n
arokatono-difficult-thing,arokatono,,,difficult thing,difficult-thing,,,,muller2021yawarana,/home/florianm/Downloads/New_Dictionary_Clippings/YarLex_0093_PaPe_arokatono.wav,n
aruru-porcupine,aruru,,,porcupine,porcupine,,,,muller2021yawarana,/home/florianm/Downloads/New_Dictionary_Clippings/YarLex_0097_AnFo_aruru.wav,n
asakepene-twice,asakëpene,,,twice,twice,,,,muller2021yawarana,/home/florianm/Downloads/New_Dictionary_Clippings/YarLex_0102_PaPe_asakepene.wav,adv
asarane-same,asarane,,,same,same,,,,muller2021yawarana,/home/florianm/Downloads/New_Dictionary_Clippings/YarLex_0116_AnFo_asarane.wav,adv
asatakukari-spit,asatakukari,,,spit,spit,,,,muller2021yawarana,/home/florianm/Downloads/New_Dictionary_Clippings/YarLex_0119_AnFo_asatakukari.wav,
asorompe-clean,asorompe,,,clean,clean,,,,muller2021yawarana,/home/florianm/Downloads/New_Dictionary_Clippings/YarLex_0130_AnFo_asorompe.wav,adv
atajmari-become-pregnant,atajmari,,,become pregnant,become-pregnant,,,,muller2021yawarana,/home/florianm/Downloads/New_Dictionary_Clippings/YarLex_0136_PaPe_atajmari.wav,vi
atiri-plot-of-cultivated-land,atiri,,,plot of cultivated land,plot-of-cultivated-land,,,,muller2021yawarana,,n
atirijpe-old-field,atirijpë,,,old field,old-field,,,,muller2021yawarana,/home/florianm/Downloads/New_Dictionary_Clippings/YarLex_0155_PaPe_atirijpe.wav,n
atono-cold,atono,,,cold,cold,,,,muller2021yawarana,/home/florianm/Downloads/New_Dictionary_Clippings/YarLex_0157_AnFo_atono.wav,n
awampuritari-grow-up,awampuritari,,,grow up,grow-up,,,,muller2021yawarana,/home/florianm/Downloads/New_Dictionary_Clippings/YarLex_0161_AnFo_awampuritari.wav,vi
aware-opossum,aware,,,opossum,opossum,,,,muller2021yawarana,/home/florianm/Downloads/New_Dictionary_Clippings/YarLex_0168_PaPe_aware.wav,n
chijchipuru-move-body,chijchipuru,,,move (body),move-body,,,,muller2021yawarana,,vi
chijchipuru-body-movement,chijchipuru,,,body movement,body-movement,,,,muller2021yawarana,/home/florianm/Downloads/New_Dictionary_Clippings/YarLex_0188_AnFo_chijchipuru.wav,n
chijchiputari-move-body,chijchiputari,,,move (body),move-body,,,,muller2021yawarana,/home/florianm/Downloads/New_Dictionary_Clippings/YarLex_0189_AnFo_chijchiputari.wav,vi
chikimu-knee,chikimu,,,knee,knee,,,,muller2021yawarana,/home/florianm/Downloads/New_Dictionary_Clippings/YarLex_0199_PaPe_chikimu.wav,n
chikipari-step-on,chikipari,,,step on,step-on,,,,muller2021yawarana,/home/florianm/Downloads/New_Dictionary_Clippings/YarLex_0201_PaPe_chikipari.wav,vt
chikirijtari-ripple,chikirijtari,,,ripple,ripple,,,,muller2021yawarana,/home/florianm/Downloads/New_Dictionary_Clippings/YarLex_0204_PaPe_chikirijtari.wav,vi
chipotari-grow-hair,chipotari,,,grow hair,grow-hair,,,,muller2021yawarana,/home/florianm/Downloads/New_Dictionary_Clippings/YarLex_0226_AnFo_chipotari.wav,vi
chipoti-hair-fur-skin,chipoti,,,hair; fur; skin,hair-fur-skin,,,,muller2021yawarana,/home/florianm/Downloads/New_Dictionary_Clippings/YarLex_0227_PaPe_chipoti.wav,n
chipotikemi-hairy,chipotikemï,,,hairy,hairy,,,,muller2021yawarana,,n
chipire-yellow,chipire,,,yellow,yellow,,,,muller2021yawarana,/home/florianm/Downloads/New_Dictionary_Clippings/YarLex_0217_AnFo_chipiire.wav,adv
chiramujye-mangy,chiramujye,,,mangy,mangy,,,,muller2021yawarana,,adv
chirijke-small-bitter-manioc-leaf,chirijke,,,small (bitter manioc leaf),small-bitter-manioc-leaf,,,,muller2021yawarana,/home/florianm/Downloads/New_Dictionary_Clippings/YarLex_0236_AnFo_chirijke.wav,adv
chirimujmari-make-dirty,chirimujmari,,,make dirty,make-dirty,,,,muller2021yawarana,/home/florianm/Downloads/New_Dictionary_Clippings/YarLex_0245_AnFo_chirimujmari.wav,vt
chirimujtari-become-dirty,chirimujtari,,,become dirty,become-dirty,,,,muller2021yawarana,/home/florianm/Downloads/New_Dictionary_Clippings/YarLex_0243_PaPe_chirimujtari.wav,vi
